Local: ,10-Dec-20,07:15:26 PM,tz_sec ,19800
Linux Epoch (ms): ,1607607926000
,SLOT F
,Ch2
Epoch Delta TS,D2,S2
2076.125,0,399618
2076.125,0,399584
2076.125,0,399629
2076.125,0,399605
2076.125,0,399580
2076.125,0,399587
2088.156,0,399608
2088.156,0,399601
2088.156,0,399645
2088.156,0,399572
2088.156,0,399616
2088.156,0,399581
2100.156,0,399604
2100.156,0,399607
2100.156,0,399636
2100.156,0,399568
2100.156,0,399620
2100.156,0,399639
2112.125,0,399607
2112.125,0,399627
2112.125,0,399635
2112.125,0,399606
2112.125,0,399576
2112.125,0,399621
2124.125,0,399591
